# This file was produced by samtools stats (1.2+htslib-1.2.1) and can be plotted using plot-bamstats
# The command line was:  stats A.sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	f5ba9629	5f9103e2	6c821247
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	25001
SN	filtered sequences:	0
SN	sequences:	25001
SN	is sorted:	1
SN	1st fragments:	25001
SN	last fragments:	0
SN	reads mapped:	499
SN	reads mapped and paired:	0	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	24502
SN	reads properly paired:	0	# proper-pair bit set
SN	reads paired:	0	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	4	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	1
SN	total length:	2525030	# ignores clipping
SN	bases mapped:	50328	# ignores clipping
SN	bases mapped (cigar):	47775	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	864	# from NM fields
SN	error rate:	1.808477e-02	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	maximum length:	101
SN	average quality:	32.4
SN	insert size average:	0.0
SN	insert size standard deviation:	0.0
SN	inward oriented pairs:	0
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
# First Fragment Qualitites. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	197	0	0	0	0	0	0	0	589	0	0	0	0	0	538	0	0	1	0	0	46	351	0	452	732	635	783	0	2352	9144	0	2764	6417	0	0	0	0	0	0	0	0
FFQ	2	0	0	197	0	0	0	0	0	0	0	523	0	0	0	0	0	516	0	0	0	0	0	64	299	0	449	614	780	630	0	1867	8595	0	2000	8467	0	0	0	0	0	0	0	0
FFQ	3	0	0	207	0	0	0	0	0	0	0	563	0	0	0	0	0	567	0	0	0	0	0	94	313	0	373	647	855	579	0	1748	8242	0	1747	9066	0	0	0	0	0	0	0	0
FFQ	4	0	0	222	0	0	0	0	0	0	0	572	0	0	0	0	0	195	0	0	346	0	0	75	0	0	264	295	18	579	0	615	14	971	1264	1	6657	0	12913	0	0	0	0	0
FFQ	5	0	0	239	0	0	0	0	0	0	0	594	0	0	0	0	0	232	0	0	334	0	0	104	0	0	313	346	21	548	0	746	8	1070	1384	1	6371	0	12690	0	0	0	0	0
FFQ	6	0	0	260	0	0	0	0	0	93	0	553	252	0	0	1	30	64	317	104	187	0	16	10	186	0	375	433	76	413	224	799	99	1235	1262	0	5985	553	11474	0	0	0	0	0
FFQ	7	0	0	271	0	0	0	3	0	71	0	370	178	0	0	0	40	33	370	71	76	0	10	12	89	0	303	282	46	517	165	613	124	1153	1381	0	6231	710	11882	0	0	0	0	0
FFQ	8	0	0	285	0	0	0	0	0	54	0	308	154	0	0	0	33	25	322	64	78	0	8	2	112	0	283	263	75	388	148	615	106	1034	1283	0	6161	739	12461	0	0	0	0	0
FFQ	9	0	0	294	0	0	0	0	0	45	0	315	143	0	0	0	44	34	289	48	105	2	11	5	106	0	263	74	308	323	148	660	83	867	748	643	2153	0	3654	1504	12132	0	0	0
FFQ	10	0	0	301	0	0	1	0	0	55	0	303	138	0	0	0	37	27	300	75	95	1	12	10	92	0	339	99	410	242	164	656	79	923	797	594	2204	0	3582	1625	11840	0	0	0
FFQ	11	0	0	317	0	0	0	0	0	74	0	311	138	0	0	0	42	45	295	84	104	0	7	11	111	0	306	78	505	150	185	628	88	957	786	638	2166	0	3565	1640	11770	0	0	0
